OTTERNO,Date,Ottername,Blood Kit#,Region,PermitType,CaptureTime,General Location,Area,Captur_Loc-N/S,Capture_Loc-E/W,Previously Captured?,Capture Team,Capture Method,Caught with pup?,Caught with others?,Palpably Pregnant?,Right Tags,R-New?,Left Tags,L- New?,R Pit Tag #,R-working?,L Pit Tag #,L-working?,Radio Tag Freq,VHF type,TDR #,Capture Comments,Sex,AgeClass,Grizzle,Nose Wound,Weight (lbs),Weight (kg),Length (cm),Girth (cm),Tail Length (cm),Right paw width (mm),Baculum length (cm),General Tooth Wear,Incisor Comments,Canine Comments,Molar Comments,Canine width (mm),Oral lesions,Age Estimate,Age Estimator,Digital Photo of Mouth,Digital Photo of Nose,Tooth Age Est,Tooth Age Est Quality,Appearance Comments,Pup UON,Pup sex,Pup Weight (kg),Pup Length (cm),Release Type,Release Loc-N/S,Release Loc-E/W
N-1412-09-S,9-Nov-11,6.067,21,BSR,TINKER/ESTES,13:08,Dolan rock,DLRK,36.0862,-121.621967,YES,HARRIS/KENNER,Wilson Traps/ Divers,NO,NO,NO,LB-1/2-305,NO,RE-4/5-127,YES,,NO,477A550309,YES,166.067,Thermister,EXPLANT,,f,a,4,1,43.7,19.8,113.6,74.3,25.8,43.4,,Light,,,,6.8,,5,STAEDLER,NO,NO,,,,,,,,Shore Release,N 36?04.181,W 121?35.975
N-1413-09-S,2-Nov-09,6.14,464,BSR,TINKER/ESTES,15:50,Vicente Creek,GAMB,36.036167,-121.58375,NO,WEITZMAN/HARRIS,Wilson Traps/ Divers,NO,NO,NO,WH-1/2-31,YES,TQ-1/2-73,YES,,NO,47781A3E35,YES,166.14,Thermister,990395,,f,a,,1,37.3,16.9,112,66.7,29.2,44.2,,Very Light,,,,7.6,,4,TINKER,NO,NO,,,,,,,,Shore Release,N 36?04.196,W 121?35.752
N-1414-09-S,3-Nov-09,6.153,465,BSR,TINKER/ESTES,9:24,VICENTE CREEK,GAMB,36.029233,-121.580567,NO,WEITZMAN/ AMES,Wilson Traps/ Divers,NO,NO,NO,WH-4/5-49,YES,RE-4/5-132,YES,,NO,47797B4566,YES,166.153,Thermister,990396,,m,a,2,1,55.1,25,118.3,75,28,46.8,,Heavy,,,,8.5,,8,VIENS,NO,NO,,,"ALGAE ON TAIL (SAMPLE TAKEN), HOLE ON l 3/4 AT TIP OF FLIPPER, TEMPLE TO TEMPLE 102.3MM, NOSE TO CROWN 165.7MM.",,,,,,N 36?01.767,W 121?34.926
N-1415-09-S,3-Nov-09,1138,467,BSR,TINKER/ESTES,10:55,Square Black Rock,BCRK,,,NO,WEITZMAN/HARRIS,Wilson Traps/ Divers,NO,YES,YES,LB-4/5-341,YES,PI-1/2-40,YES,,NO,477B565A7C,YES,,,,"COUGHT WITH 6.514, PREGNANT, LISTED N/W COORDINATES ARE FOR VINCENTE CREEK, BUT AREA IS LISTED AS SQUARE BLACK ROCK",f,a,1,,45.2,20.5,111,67.4,26.4,44.7,,Light,,,,7.5,,4,STAEDLER,NO,NO,,,PREGNANT,,,,,Boat Release,N 36? 4.090,W 121?36.064
N-1416-09-S,3-Nov-09,6.514,468,BSR,TINKER/ESTES,12:49,Square Black Rock,BCRK,,,NO,WEITZMAN/ HARRIS,Wilson Traps/ Divers,NO,YES,NO,WH-1/2-58,YES,WH-1/2-59,YES,,NO,477244782E,YES,166.514,Thermister,990399,COUGHT WITH 1138-09,f,a,2,3,42.1,19.1,116,74.3,29.9,43.2,,Light,,,,7.1,,4,STAEDLER,NO,NO,,,"TEMP TO TEMP 89, NOSE TO CREST 152",,,,,Boat Release,N 36? 4. 09,W 121?36.065
N-1417-09-S,3-Nov-09,1140,469,BSR,TINKER/ESTES,13:55,DLCY,DLCY,36.110483,-121.633033,NO,HATFIELD/ KENNER,Wilson Traps/ Divers,NO,YES,YES,LB-4/5-332,YES,LB-1/2-334,YES,,NO,476D77053E,YES,,,,"COUGHT WITH 1141-09, PREGNANT",f,a,4,1,49.6,22.5,115.2,74.1,26.4,41.7,,Heavy,,2 FRACTURES,DEEP WEAR ON BOTH UPPER AND LOWER,7.8,,9,STAEDLER,NO,NO,,,"PREGNANT, TEMPPLE TO TEMPLE 88.8, CREST TO NOSE 152.7",,,,,Boat Release,N 36?05.708,W 121?37.693
N-1418-09-S,3-Nov-09,1141,470,BSR,TINKER/ESTES,13:55,DLCY,DLCY,36.110483,-121.633033,NO,HATFIELD/ KENNER,Wilson Traps/ Divers,NO,YES,YES,LB-1/2-73,YES,LG-4/5-2,YES,,NO,477221483D,YES,,,,"PREGNANT, COUGHT WITH 1140",f,a,2,1,45.6,20.7,112,73,26.2,43.8,,Light,,,,6.8,,5,STAEDLER/MURRAY,NO,NO,,,"SKULL TEMPLE TO TEMPLE 97.1, NOSE TO CREST 152.7",,,,,Boat Release,N 36?05.708,W 121?37.693
N-1418-09-S,25-Sep-10,6.602,514,BSR,TINKER/ESTES,14:38,DLCY,DLCY,36.1125,-121.633233,YES,WEITZMAN/KENNER,Wilson Traps/ Divers,NO,TRUE,NO,LB-1/2-317,YES,LG-4/5-80,YES,477221483D,YES,,NO,166.602,,,,f,a,3,2,43.9,19.9,110.5,72.2,27.7,41.7,,,,,,6.7,,6,STAEDLER,NO,NO,,,HAD PIT TAG BUT COULD NOT READ IT.  FORMERLY 1141 (BRD# 1141-09).  MISED AGE ESTIMATE AND HEAD MEASUREMENTS AS SX ENDED QUICKLY BECAUSE OF A DIFFERENT WARM OTTER,,,,,Boat Release,N 36?07.160,W 121?38.185
N-1419-09-S,4-Nov-09,6.553,471,BSR,TINKER/ESTES,10:40,John Little State Park,DLCY,36.112733,-121.634767,NO,KENNER/ HATFIELD,Wilson Traps/ Divers,NO,YES,NO,LB-4/5-330,YES,CH-4/5-191,YES,,NO,48000C5E0E,YES,166.553,Thermister,990402,COUGHT WITH 1143-09,f,s,1,3,31.7,14.4,108,67.4,28.1,43.6,,Very Light,,,,7.2,,2.5,STAEDLER,NO,NO,,,"TEMPLE TO TEMPLE 95, NOSE TO CREST 148.4",,,,,,N 36?06.732,W 121?38.150
N-1419-09-S,24-Sep-10,6.553,510,BSR,TINKER/ESTES,13:25,ANDR,ANDR,36.153683,-121.669233,YES,ESSLINGER/KENNER,Wilson Traps/ Divers,NO,YES,NO,LB-4/5-6189,YES,CH-4/5-142,YES,476B2B0C26,YES,,NO,166.553,Thermister,EXPLANT,,f,a,2,3,35.1,15.9,108,71.8,26.6,42.3,,Light,LIGHT WEAR ON UPPER AND LOWER INCISORS,,,5.7,,4.5,MURRAY,NO,NO,,,,,,,,Boat Release,N 36?09.221,W 121?40.154
